# Catálogo de ladas de México (código de área). Formato: codigo|ubicacion
# Puedes agregar/editar líneas según necesites.
652|Sonora (zona)
653|Sonora (San Luis Río Colorado)
656|Chihuahua (Cd. Juárez)
659|Chihuahua (Hidalgo del Parral)
661|Baja California (Rosarito)
664|Tijuana, Baja California
665|Baja California (Tecate)
666|Baja California (zona)
667|Sinaloa (Culiacán)
668|Sinaloa (Los Mochis)
669|Sinaloa (Mazatlán)
672|Sinaloa (zona)
673|Sinaloa (Guamúchil)
675|Sinaloa (zona)
686|Mexicali, Baja California
687|Sinaloa (Guasave)
694|Sinaloa (zona)
695|Sinaloa (Escuinapa)
697|Sinaloa (zona)
702|? (no asignada / reservada)
721|Estado de México (zona)
722|Estado de México (Toluca)
724|Estado de México (zona)
725|Estado de México (zona)
726|Estado de México (zona)
727|Estado de México (zona)
728|Estado de México (zona)
731|Estado de México (zona)
733|Guerrero (zona)
734|Morelos (zona)
735|Morelos (zona)
736|Guerrero (zona)
741|Guerrero (zona)
744|Guerrero (Acapulco)
745|Guerrero (zona)
746|Guerrero (zona)
747|Guerrero (zona)
751|Estado de México (zona)
754|Estado de México (zona)
756|Estado de México (zona)
761|Estado de México (zona)
762|Estado de México (zona)
763|Estado de México (zona)
764|Estado de México (zona)
765|Estado de México (zona)
767|Estado de México (zona)
768|Estado de México (zona)
771|Hidalgo (zona)
772|Hidalgo (zona)
773|Hidalgo (zona)
774|Hidalgo (zona)
775|Hidalgo (zona)
776|Hidalgo (zona)
777|Morelos (Cuernavaca)
781|Estado de México (zona)
782|Estado de México (zona)
784|Estado de México (zona)
786|Estado de México (zona)
791|Estado de México (zona)
797|Estado de México (zona)
812|Nuevo León (zona)
814|Nuevo León (zona)
815|Nuevo León (zona)
816|Nuevo León (zona)
818|Nuevo León (zona)
821|Nuevo León (zona)
823|Nuevo León (zona)
824|Nuevo León (zona)
825|Nuevo León (zona)
826|Nuevo León (zona)
828|Nuevo León (zona)
829|Nuevo León (zona)
831|Nuevo León (zona)
832|Tamaulipas (zona)
833|Tamaulipas (Tampico)
834|Tamaulipas (Cd. Victoria)
841|Tamaulipas (zona)
844|Coahuila (Saltillo)
861|Coahuila (zona)
864|Coahuila (zona)
866|Coahuila (Piedras Negras)
867|Tamaulipas (Nuevo Laredo)
868|Coahuila/Tamaulipas (Reynosa)
871|Coahuila (Torreón)
872|Coahuila (zona)
873|Coahuila (zona)
874|Coahuila (zona)
877|Coahuila (Monclova)
891|Tamaulipas (zona)
892|Tamaulipas (zona)
893|Tamaulipas (zona)
894|Tamaulipas (zona)
897|Tamaulipas (zona)
899|Tamaulipas (Matamoros)
912|Oaxaca (zona)
913|Veracruz (zona)
914|Tabasco (zona)
917|Tabasco (zona)
918|? (reservada)
919|Chiapas (Tapachula)
921|Veracruz (zona)
922|Veracruz (zona)
923|Veracruz (zona)
924|Veracruz (zona)
926|Veracruz (zona)
933|Tabasco (zona)
934|Tabasco (zona)
936|Tabasco (zona)
937|Tabasco (zona)
938|Tabasco (zona)
951|Oaxaca (Oaxaca)
953|Oaxaca (zona)
954|Oaxaca (zona)
956|Oaxaca (zona)
958|Oaxaca (zona)
961|Chiapas (Tuxtla Gutiérrez)
962|Chiapas (zona)
963|Chiapas (zona)
964|Chiapas (zona)
965|Chiapas (zona)
966|Chiapas (zona)
967|Chiapas (San Cristóbal)
971|Oaxaca (zona)
972|Oaxaca (zona)
981|Campeche (zona)
982|Campeche (zona)
983|Quintana Roo (Chetumal)
984|Quintana Roo (zona)
985|Yucatán (zona)
986|Yucatán (zona)
987|Quintana Roo (zona)
988|Yucatán (zona)
991|Yucatán (zona)
992|Tabasco (Villahermosa)
993|Tabasco (zona)
997|Quintana Roo (zona)
998|Quintana Roo (Cancún)
999|Yucatán (Mérida)
200|Telefonía satelital / servicios
300|Cobro compartido
500|Transferencia de llamadas
800|Lada sin costo (800)
900|Servicios de tarificación
